"Date","Open","High","Low","Close","Volume","Ticker"
2025-06-18,317.58,317.58,317.58,317.58,0,"BRVMAG"
2025-06-19,330.84,330.84,330.84,330.84,0,"BRVMAG"
2025-06-20,330.47,330.47,330.47,330.47,0,"BRVMAG"
2025-06-23,335.77,335.77,335.77,335.77,0,"BRVMAG"
2025-06-24,336.77,336.77,336.77,336.77,0,"BRVMAG"
2025-06-25,329.97,329.97,329.97,329.97,0,"BRVMAG"
2025-06-26,327.55,327.55,327.55,327.55,0,"BRVMAG"
2025-06-27,333.59,333.59,333.59,333.59,0,"BRVMAG"
2025-06-30,334.2,334.2,334.2,334.2,0,"BRVMAG"
2025-07-01,331.52,331.52,331.52,331.52,0,"BRVMAG"
2025-07-02,334.06,334.06,334.06,334.06,0,"BRVMAG"
2025-07-03,331.19,331.19,331.19,331.19,0,"BRVMAG"
2025-07-04,333.07,333.07,333.07,333.07,0,"BRVMAG"
2025-07-07,329.74,329.74,329.74,329.74,0,"BRVMAG"
2025-07-08,326.32,326.32,326.32,326.32,0,"BRVMAG"
2025-07-09,315.62,315.62,315.62,315.62,0,"BRVMAG"
2025-07-10,315.73,315.73,315.73,315.73,0,"BRVMAG"
2025-07-11,308.95,308.95,308.95,308.95,0,"BRVMAG"
2025-07-14,310.98,310.98,310.98,310.98,0,"BRVMAG"
2025-07-15,305.78,305.78,305.78,305.78,0,"BRVMAG"
2025-07-16,303.03,303.03,303.03,303.03,0,"BRVMAG"
2025-07-17,301.87,301.87,301.87,301.87,0,"BRVMAG"
2025-07-18,306.86,306.86,306.86,306.86,0,"BRVMAG"
2025-07-21,309.71,309.71,309.71,309.71,0,"BRVMAG"
2025-07-22,308.14,308.14,308.14,308.14,0,"BRVMAG"
2025-07-23,306.08,306.08,306.08,306.08,0,"BRVMAG"
2025-07-24,309.14,309.14,309.14,309.14,0,"BRVMAG"
2025-07-25,308.04,308.04,308.04,308.04,0,"BRVMAG"
2025-07-28,308.61,308.61,308.61,308.61,0,"BRVMAG"
2025-07-29,308.17,308.17,308.17,308.17,0,"BRVMAG"
2025-07-30,314.14,314.14,314.14,314.14,0,"BRVMAG"
2025-07-31,316.63,316.63,316.63,316.63,0,"BRVMAG"
2025-08-01,316.23,316.23,316.23,316.23,0,"BRVMAG"
2025-08-04,314.38,314.38,314.38,314.38,0,"BRVMAG"
